id,model_code,price,نمودار مصرف انرژی,وزن,گنجایش کل به لیتر,گنجایش کل به فوت,محدوده گنجایش کل به لیتر,نوع مقاومت در برابر برفک,شناسه کالا,گنجایش یخچال,تعداد طبقات یخچال,تعداد طبقات درب یخچال,تعداد کشو,گنجایش فریزر,تعداد طبقات فریزر,تعداد طبقات درب فریزر,تعداد کشوی فریزر,امکانات یخچال,جهت باز شدن درب یخچال,جهت باز شدن درب فریزر,میزان صدا,لزوم اتصال به شیر آب,امکانات فریزر,سایر ویژگی‌های فریزر,ارتفاع یخچال-فریزر,عمق یخچال-فریزر,پهنای یخچال-فریزر,سایر ویژگی‌ها,سایر ویژگی‌های یخچال,نوع یخچال و فریزر,ارتفاع,عمق,پهنا
25,DAEWOO-SBS-DS-3020MW,,A+,۱۲۰ کیلوگرم,۶۸۴,۲۹,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۲۴,۴۴۰ لیتر,۴,۵,۲ عدد,۲۴۴ لیتر,۳,۳,۳,,,,,,,,,,,,,,,,
26,DAEWOO-SBS-DS-3320MW,,A+,۱۵۰ کیلوگرم,۶۸۴,۳۲,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۲۴,۴۴۰ لیتر,۴,۵,۲ عدد,۲۴۴ لیتر,۳,,۳,نمایشگر,به سمت راست,به سمت چپ,,,,,,,,,,,,,
27,DAEWOO-SBS-DS-3325GW,,A+,۱۲۰ کیلوگرم,۶۶۰,۳۲,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۴۸,۴۴۰ لیتر لیتر,۵ عدد,۵ عدد,۲ عدد,۲۲۰ لیتر لیتر,۳ عدد,۳ عدد,۳ عدد,آبسردکن,,,۳۸ دسی بل,بله,بدون برفک,,,,,,,,,,
28,DAEWOO-SBS-DS-3320SS,,A+,۱۵۰ کیلوگرم,,۳۲,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۳۱,لیتر,۴,۳,۲ عدد,لیتر,۳,۲,۳,نمایشگر,,,,دارد,یخساز نیمه اتوماتیک (منبع آب),سيستم انجماد سريع فريزر سیستم سرد کننده سریع دارای فیلتر تصفیه آب سامانه بار خانگی با تکنولوژی جدید سرمایش یکنواخت لامپ های LED,,,,,,,,,
29,DAEWOO-SBS-ARSXi30-20S,,A+,۱۱۵ کیلوگرم,۷۷۱,۳۶,بیش از ۷۰۰ لیتر,نوفراست,۴۲۳۶۲CRSDWH۱۰۹,۴۹۴ لیتر,۵,۵,۵ عدد,۲۷۷ لیتر,۳,۳,۳,آبسردکن,راست,چپ,,بله,یخساز اتوماتیک (آب شهری),"باکتري زدايی, بوزدايی, تصفيه هوا, تکنولوژی ديجيتال, درِ سوم همراه با سامانه سرمايش فلزی, روشنايي درخشان با LED, سامانه آرام بند درها, سامانه خودکار بسته شدن دَرها, سطوح کاملا مسطح, طبقات شيشه‌اي بدون فريم, فضاي بيشتر داخل فريزر, کاهش صداهای مزاحم, محفظه نگهداری حرفه‌ای گوشت تازه, مديريت هوشمند انرژی, نمايشگرLED با کنترل لمسی",۱۸۱.۶ سانتی‌متر,۹۲ سانتی‌متر,۹۱.۶ سانتی‌متر,"باکتري زدايی, بوزدايی, تصفيه هوا, تکنولوژی ديجيتال, درِ سوم همراه با سامانه سرمايش فلزی, روشنايي درخشان با LED, سامانه آرام بند درها, سامانه خودکار بسته شدن دَرها, سطوح کاملا مسطح, طبقات شيشه‌اي بدون فريم, فضاي بيشتر داخل فريزر, کاهش صداهای مزاحم, محفظه نگهداری حرفه‌ای گوشت تازه, مديريت هوشمند انرژی, نمايشگرLED با کنترل لمسی","باکتري زدايی, بوزدايی, تصفيه هوا, تکنولوژی ديجيتال, درِ سوم همراه با سامانه سرمايش فلزی, روشنايي درخشان با LED, سامانه آرام بند درها, سامانه خودکار بسته شدن دَرها, سطوح کاملا مسطح, طبقات شيشه‌اي بدون فريم, فضاي بيشتر داخل فريزر, کاهش صداهای مزاحم, محفظه نگهداری حرفه‌ای گوشت تازه, مديريت هوشمند انرژی, نمايشگرLED با کنترل لمسی",,,,
30,DAEWOO-SBS-DS-3640SS,,A+,۱۲۰ کیلوگرم,۹۹۱,۳۵,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۵۴۴۷,۴۹۴ لیتر,۴,۵,۲ عدد,۲۷۷ لیتر,۳,۳,۳,,,,,,,,,,,,,,,,
31,DAEWOO-SBS-DS-3440MW,,A+,۱۲۰ کیلوگرم,۹۰۶,۳۲,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۵۴۰۹,۴۴۰ لیتر,۴,۵,۲ عدد,۲۴۴ لیتر,۳,۳,۳,,,,,,,,,,,,,,,,
32,DAEWOO-SBS-DSI-3440MW,,A+,۱۲۰ کیلوگرم,۹۰۶,۳۲,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۵۴۰۹,۴۴۰ لیتر,۴,۵,۲ عدد,۲۴۴ لیتر,۳,۳,۳,,,,,,,,,,,,,,,,
33,DAEWOO-SBS-SXI15-21GW,,A+,۱۱۰ کیلوگرم,۶۸۰,۳۲,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۱۰۲۴۳,۴۴۰ لیتر,۴,۵,۲ عدد,۲۴۰ لیتر,۲,۳,۳,بدون برفک,به راست,به چپ,,,بدون برفک,,۱۸۱ سانتی‌متر,۸۴ سانتی‌متر,۹۱ سانتی‌متر,Metal Ice Cooling سامانه/ اعلام زمان پایان تاریخ مصرف موادغذایی در SMARTBOOM/ امکان دریافت هشدار در خصوص سرویس‌های دوره‌ای یخچال فریزر روی گوشی موبایل/ بار خانگی/ بهبود بردهای الکترونیکی نمایشگر و کمپرسور/ بهینه سازی ساختار مواد/ پشتیبانی آنلاین انتخاب سرویس از طریق اپلیکیشن اسمارت بوم/ تنظیم دما و حالت عملکرد یخچال با گوشی موبایل/ سامانه Blue Fresh LED/ سامانه خودکار بسته شدن درب ها/ سامانه روشنایی LED/ سامانه مدیریت هوشمند Smart Management/ سیستم سرمایش سه بعدی ۳D Cooling/ سیستم سرمایش هوشمند Digital Cooling/ سیستم سرمایش و انجماد سریع/ سیستم فیلترینگ هوای Fresh Max Plus/ طبقات شیشه ای بدون قاب/ فیلتر تصفیه هوا (نانوکربن)/ فیلتر جاذب اتیلن/ مجهز به Magic Cool Zone/ یخساز اتوماتیک فوق باریک روی در/,,ساید بای ساید,,,
34,DAEWOO-SBS-DS-3020SS,,A+,۱۲۰ کیلوگرم,۵۹۱,۲۸,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۱۷,۳۹۴ لیتر,۴,۵,۲ عدد,۱۹۷ لیتر,۳,۳,۲,,,,,,,,,,,,,,,,
35,DAEWOO-SBS-DS-3330SS,,A+,۱۱۵ کیلوگرم,۶۳۰,۳۳,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۸۶,۴۴۰ لیتر لیتر,۵,۶,۲ عدد,۱۹۰ لیتر لیتر,۳,۳,۳,آبسردکن,به سمت راست,به سمت چپ,۲۹۰۰۱۷۶۵۰۰۵۹۶,,,,,,,- سامانه سرمای فلزی Metal Cooling - سامانه حفظ تازگی و ماندگاری میوه و سبزیجات Blue Fresh LED - بار خانگی - فیلتر هوای سه لایه Fresh Max Plus - فیلتر تصفیه آب - قابلیت اتصال به آب شهر - حالت کاهش مصرف انرژی هوشمند - سامانه کنترل سرمایش الکترونیک - سامانه گردش هوای چندگانه - زنگ هشدار باز بودن درب - حالت خواب - سیستم کاهش صدا در شب - سیستم کنترل هوشمند,,,,,
36,DAEWOO-SBS-DS-3730MW,,A+,۱۲۰ کیلوگرم,۷۷۱,۳۵,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۵۴۲۳,۵۰۰ لیتر,۵,۶,۲ عدد,۲۷۷ لیتر,۳,۳,۳,,,,,,,,۱۸۱ سانتی‌متر,۹۲ سانتی‌متر,۹۱ سانتی‌متر,,,,,,
37,DAEWOO-SBS-DS-3730SS,,A+,,۷۷۷,۳۷,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۹۳,۵۰۰ لیتر,۵,۵,۲ عدد,۲۷۷ لیتر,۳,۳,۳,,,,,,,,,,,,,,۱۸۱۶ سانتی‌متر,۹۲۰ سانتی‌متر,۹۱۶ سانتی‌متر
38,DAEWOO-SBS-DS-3325SS,,A+,,۶۳۰,۳۲,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۵۵,۴۴۰ لیتر,۵,۵,۲ عدد,۱۹۰ لیتر لیتر,۳,۳,۳,نمایشگر,به سمت راست,به سمت چپ,,,یخساز اتوماتیک (آب شهری),,,,,- چشم الكترونیكی هوشمند - سامانه بار خانگی با تکنولوژی جدید - سیستم قدرتمند گردش هوای سه بعدی - مجهز به سامانه سرمایش فلزی - فیلتر نانو کربن - سیستم کاهش صدا در شب,- بار خانگی با فناوری جدید آرام بازشو - طبقات شیشه‌ای بدون قاب,,۱۸۱.۶ سانتی‌متر,۸۴ سانتی‌متر,۹۱.۶ سانتی‌متر سانتی‌متر
39,DAEWOO-SBS-DS-3440SS,,A+,۱۲۰ کیلوگرم,۶۳۰,۳۲,,نوفراست,۲۹۰۰۱۷۶۵۰۵۴۱۶,۴۴۰ لیتر لیتر,۵,۵,۲ عدد,۱۹۰ لیتر لیتر,۳,۳,۳,بدون برفک,به سمت راست,به سمت چپ,,,یخساز اتوماتیک (آب شهری),,,,,- دارای فیلتر هوای سه گانه Fresh Max Plus - طبقات شیشه‌ای بدون قاب - محفظه خنک کننده ویژه Magic Cool Zone - سامانه سرمایش فلزی Metal Ice Cooling - سامانه بار خانگی درب سوم همراه با سامانه سرمایش فلزی - سامانه سرمایش سریع در فریزر - سامانه سرمایش سریع در یخچال - دارای حالت خواب - سامانه گردش هوای چندگانه - سامانه کنترل سرمایش الکترونیک - حالت ذخیره انرژی هوشمند (ECO),,,۱۸۱.۶ سانتی‌متر,۸۴ سانتی‌متر,۹۱.۶ سانتی‌متر سانتی‌متر
40,DAEWOO-SBS-ARSXi30-30S,,A+,۱۱۵ کیلوگرم,۷۷۱,۳۶,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۳۲۸۳۶۰۰۵۲۴,۴۹۴ لیتر,۵,۵,۲ عدد,۲۷۷ لیتر,۳,۴,۳,لامپ یخچال,چپ به راست,راست به چپ,,دارد,یخساز اتوماتیک (آب شهری),,۱۸۱.۶ سانتی‌متر,۹۲ سانتی‌متر,۹۱.۶ سانتی‌متر,گنجایش زیاد فضای داخلی برای نگهداری انواع مواد غذایی / قابل کنترل از طریق برنامه موبایل / دستگیره مخفی / دارای نمایشگر و صفحه کنترل لمسی / دارای آب‌سردکن اتوماتیک,مجهز به بار خانگی جهت دسترسی آسان به نوشیدنی‌ها و خوراکی‌های مورد نیاز,ساید بای ساید,,,
41,DAEWOO-SBS-DS-3020GW,,A+,۱۲۰ کیلوگرم,۵۸۸,۲۸,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۰۰,۳۹۴ لیتر,۴,۵,۲ عدد,۱۹۴ لیتر,۳,۳,۲,,,,,,,,,,,,,,,,
42,DAEWOO-SBS-DS-3325MW,,A+,,۸۳۰,۳۲,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۶۲,۲۴۴ لیتر,۵,۵,۲ عدد,۴۴۰ لیتر,۴,,۲,,,,,,,,,,,,,,۱۸۱ سانتی‌متر,۸۳ سانتی‌متر,۹۱.۶ سانتی‌متر
43,DAEWOO-SBS-DS-3640MW,,A+,۱۲۰ کیلوگرم,۹۹۱,۳۵,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۵۴۵۴,۴۹۴ لیتر,۴,۵,۲ عدد,۲۷۷ لیتر,۳,۳,۳,,,,,,,,,,,,,,,,
44,DAEWOO-SBS-DS-3330MW,,A+,۱۱۵ کیلوگرم,۶۸۴,۳۲,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۵۳۷۹,۴۴۰ لیتر,۵,۵,۲ عدد,۲۴۰ لیتر,۳,۳,۳,نمایشگر,به سمت راست,به سمت چپ,,بله,,,,,,بارخانگی با فناوری انعکاس سرمای فلزی Metal Ice Cooling / حالت ذخیره انرزی هوشمند (ECO) / سامانه گردش هوای چندگانه / صفحه نمایش LED / طبقات شیشه‌ای بدون قاب / فناوری کاهش مصرف انرژی / فیلتر هوای سه گانه Fresh Max Plus / مجهز به محفظه تازه نگهدارنده ی میوه و سبزیجات (مجهز به Blue light LED) / چشم الكترونیكی هوشمند / سامانه بار خانگی با تکنولوژی جدید / سامانه سرمایش سریع دریخچال و انجماد در فریزر / سامانه کنترل سرمایش الکترونیک / سيستم قدرتمند گردش هوای سه بعدی / طبقات شیشه‌ای مقاوم / کمپرسور اینورتر دیجیتال / مجهز به سامانه سرمایش فلزی,,,,,
45,GPLUS-SBS-GSS-P7535 S,,A++,۸۰ کیلوگرم,۵۰۷,۲۸,۴۹۱ تا ۵۵۰,نوفراست,۲۹۰۲۰۹۶۶۰۳۰۱۲,۳۳۲ لیتر,۴,۴,۲ عدد,۱۷۵ لیتر,۴,۴,۲,آبسردکن,راست,چپ,,,یخساز نیمه اتوماتیک (منبع آب),,۱۷۷ سانتی‌متر,۶۷ سانتی‌متر,۹۰ سانتی‌متر,دارای نمایشگر / سیستم جریان هوای چندگانه,,ساید بای ساید,,,
46,GPLUS-SBS-GSS-M7525BS,,A++,۸۰ کیلوگرم,۵۰۷,۲۸,۴۹۱ تا ۵۵۰,نوفراست,۲۹۰۲۰۹۶۶۰۱۷۱۱,- لیتر,۴,۴,۲ عدد,- لیتر,۴,۴,۲,,,,,,,,۱۷۷ سانتی‌متر,۶۷ سانتی‌متر,۹۰.۵ سانتی‌متر,,,,,,
47,GPLUS-SBS-GSS-M7525W,,A++,,۵۰۷ لیتر,۲۸,۴۹۱ تا ۵۵۰,نوفراست,۲۹۰۲۰۹۶۶۰۱۶۹۸,۳۳۲ لیتر لیتر,۴ طبقه,۴ طبقه,۴ عدد,۱۷۵ لیتر لیتر,۴ طبقه,۴ طبقه,۲ عدد,بدون برفک,,,,,,,,,,,آبریز دستی Water Dispenser / سیستم جریان هوای چندگانه- Multi Air Flow / محفظه Fresh Box جهت تازه ماندن مواد غذایی / نمایشگر LED / فناوری انجماد سریع- Super freezing / امکان سرمایش سریع در یخچال (Quick Cooling) / عملکرد ویژه کاهش مصرف در زمان (Holiday),,۶۷ سانتی‌متر,۱۷۷ سانتی‌متر,۹۰.۵ سانتی‌متر
48,GPLUS-SBS-GSS-P7920W,,A+,۱۰۰ کیلوگرم,۷۶۰,۳۲,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۲۰۹۶۶۰۳۴۷۰,۴۶۰ لیتر,۴,۴,۲ عدد,۲۳۲ لیتر,۴,۱,۲,بدون برفک,راست,چپ,,دارد,یخساز اتوماتیک (آب شهری),فناوری انجماد سریع (Super Freezing),۱۷۷ سانتی‌متر,۸۵.۲ سانتی‌متر,۹۱ سانتی‌متر,مجهز به کمپرسور هوشمند اینورتر / بار خانگی (هوم بار) با قابلیت باز شدن تنها با یک اشاره / مجهز به نمایشگر LED لمسی / مجهز به عملکرد ویژه کاهش مصرف در زمان سفر / مجهز به فیلتر تصفیه هوای دائمی سیلور یون (Silver Ion) و جاذب گاز اتیلن,فناوری سرمایش سریع (Super Cooling),ساید بای ساید,,,
49,GPLUS-SBS-GSS-P7435BG,,A++,۱۶۸ کیلوگرم,۵۱۰,۲۸,۴۹۱ تا ۵۵۰,نوفراست,۲۹۰۲۰۹۶۶۰۳۰۵۰,۳۳۲ لیتر,۴,۴,۲ عدد,۱۴۰ لیتر,۴,۴,۲,بدون برفک,,,,,بدون برفک,دارای انجماد سریع,۱۷۷ سانتی‌متر,۶۷ سانتی‌متر,۹۰ سانتی‌متر,دارای جریان هوای خنک چندگانه / دارای صفحه نمایش LED لمسی,,ساید بای ساید,,,
50,GPLUS-SBS-GSS-P7635 W,,A+,۱۳۰ کیلوگرم,۴۷۲,۲۸,۳۵۱ تا ۴۹۰,نوفراست,۲۹۰۲۰۹۶۶۰۳۰۰۵,۳۳۲ لیتر,۴ عدد,۴ عدد,۲ عدد عدد,۱۴۰ لیتر,۴ عدد,۱ عدد,۲ عدد,بدون برفک,,,,دارد,بدون برفک,,۱۷۷ سانتی‌متر,۶۷ سانتی‌متر,۹۰ سانتی‌متر,فیلتر تصفیه آب / امکان سرمایش سریع در یخچال (Quick Cooling) / محفظه Fresh Box جهت تازه ماندن مواد غذایی / امکان سرمایش سریع در فریزر (Quick Freezing) / سیستم جریان هوای چندگانه- Multi Air Flow / عملکرد صرفه‌جویی در مصرف انرژی (Eco) / دارای نشانگر LED,,ساید بای ساید,,,
51,GPLUS-SBS-GSS-M7423BG,,A++,۱۱۰ کیلوگرم,۵۱۰,۲۸,۴۹۱ تا ۵۵۰,نوفراست,۲۹۰۲۰۹۶۶۰۱۶۸۱,۳۳۵ لیتر,۴,۴,۲ عدد,۱۷۵ لیتر,۴,۴,۲,,,,,,,,,,,,,,,,
52,GPLUS-SBS-GSS-P7920S,"۶۵,۵۰۰,۰۰۰",A+,۱۰۰ کیلوگرم,۷۶۰,۳۲,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۲۰۹۶۶۰۳۴۸۷,۴۶۰ لیتر,۴,۴,۲ عدد,۲۳۲ لیتر,۴,۱,۲,بدون برفک,راست,چپ,,دارد,یخساز اتوماتیک (آب شهری),فناوری انجماد سریع (Super Freezing),۱۷۷ سانتی‌متر,۸۵.۲ سانتی‌متر,۹۱ سانتی‌متر,مجهز به کمپرسور هوشمند اینورتر / بار خانگی (هوم بار) با قابلیت باز شدن تنها با یک اشاره / مجهز به نمایشگر LED لمسی / مجهز به عملکرد ویژه کاهش مصرف در زمان سفر / مجهز به فیلتر تصفیه هوای دائمی سیلور یون (Silver Ion) و جاذب گاز اتیلن,فناوری سرمایش سریع (Super Cooling),ساید بای ساید,,,
53,GPLUS-SBS-GSS-M7625W,,A+,۱۳۰ کیلوگرم,۴۷۲,۲۸,۳۵۱ تا ۴۹۰,نوفراست,۲۹۰۲۰۹۶۶۰۱۵۷۵-۲۹۰۲۰۹۶۶۰۱۵۶۸,۳۳۲ لیتر,۴ عدد,۴ عدد,۲ عدد عدد,۱۴۰ لیتر,۴ عدد,۱ عدد,۲ عدد,بدون برفک,,,,,بدون برفک,,,,,فیلتر تصفیه آب / امکان سرمایش سریع در یخچال (Quick Cooling) / محفظه Fresh Box جهت تازه ماندن مواد غذایی / امکان سرمایش سریع در فریزر (Quick Freezing) / سیستم جریان هوای چندگانه- Multi Air Flow / عملکرد صرفه‌جویی در مصرف انرژی (Eco) / دارای نشانگر LED,,,,,
54,GPLUS-SBS-GSS-P7535 W,,A++,۸۰ کیلوگرم,۵۰۷,۲۸,۴۹۱ تا ۵۵۰,نوفراست,۲۹۰۲۰۹۶۶۰۳۰۲۹,۳۳۲ لیتر,۴,۴,۲ عدد,۱۷۵ لیتر,۴,۴,۲,,,,,,,,۱۷۷ سانتی‌متر,۶۷ سانتی‌متر,۹۱ سانتی‌متر,,,,,,
55,GPLUS-SBS-GSS-M7625BS,,A+,۱۳۰ کیلوگرم,۴۷۲,۲۸,۳۵۱ تا ۴۹۰,نوفراست,۲۹۰۲۰۹۶۶۰۱۵۷۵-۲۹۰۲۰۹۶۶۰۱۵۶۸,۳۳۲ لیتر,۴ عدد,۴ عدد,۲ عدد عدد,۱۴۰ لیتر,۴ عدد,۱ عدد,۲ عدد,بدون برفک,,,,,بدون برفک,,,,,فیلتر تصفیه آب / امکان سرمایش سریع در یخچال (Quick Cooling) / محفظه Fresh Box جهت تازه ماندن مواد غذایی / امکان سرمایش سریع در فریزر (Quick Freezing) / سیستم جریان هوای چندگانه- Multi Air Flow / عملکرد صرفه‌جویی در مصرف انرژی (Eco) / دارای نشانگر LED,,,,,
